,Site Name,city,metric,quantity,work_date,date,month,year
297,F,San Mateo,Production A,32,07/01/2015,07,Jan,2015
298,F,San Mateo,Hours Worked,101,06/01/2015,06,Jan,2015
299,F,San Mateo,Hours Worked,115,05/01/2015,05,Jan,2015
300,A,LA,Hours Worked,86,06/02/2015,06,Feb,2015
301,A,LA,Hours Worked,97,02/02/2015,02,Feb,2015
302,A,LA,Hours Worked,97,05/02/2015,05,Feb,2015
303,A,LA,Production A,35,04/02/2015,04,Feb,2015
304,A,LA,Production A,32,02/02/2015,02,Feb,2015
305,A,LA,Hours Worked,87,03/02/2015,03,Feb,2015
306,A,LA,Hours Worked,105,04/02/2015,04,Feb,2015
307,C,San Diego,Production B,14,19/02/2015,19,Feb,2015
308,C,San Diego,Production A,31,17/02/2015,17,Feb,2015
309,C,San Diego,Hours Worked,102,19/02/2015,19,Feb,2015
310,C,San Diego,Hours Worked,111,18/02/2015,18,Feb,2015
311,C,San Diego,Hours Worked,108,17/02/2015,17,Feb,2015
312,B,San Diego,Production A,68,27/02/2015,27,Feb,2015
313,B,San Diego,Production B,25,23/02/2015,23,Feb,2015
314,B,San Diego,Hours Worked,110,27/02/2015,27,Feb,2015
315,B,San Diego,Hours Worked,108,24/02/2015,24,Feb,2015
316,B,San Diego,Hours Worked,114,25/02/2015,25,Feb,2015
317,B,San Diego,Hours Worked,110,23/02/2015,23,Feb,2015
318,C,San Diego,Production A,88,26/02/2015,26,Feb,2015
319,C,San Diego,Production A,67,23/02/2015,23,Feb,2015
320,C,San Diego,Production B,34,23/02/2015,23,Feb,2015
321,C,San Diego,Production B,12,26/02/2015,26,Feb,2015
322,C,San Diego,Production A,72,22/02/2015,22,Feb,2015
323,C,San Diego,Hours Worked,102,23/02/2015,23,Feb,2015
324,C,San Diego,Hours Worked,84,25/02/2015,25,Feb,2015
325,C,San Diego,Hours Worked,81,26/02/2015,26,Feb,2015
326,C,San Diego,Hours Worked,106,24/02/2015,24,Feb,2015
327,B,San Diego,Hours Worked,106,11/03/2015,11,Mar,2015
328,B,San Diego,Hours Worked,84,13/03/2015,13,Mar,2015
329,B,San Diego,Production B,12,09/03/2015,09,Mar,2015
330,B,San Diego,Production B,15,13/03/2015,13,Mar,2015
331,B,San Diego,Hours Worked,111,10/03/2015,10,Mar,2015
332,B,San Diego,Hours Worked,91,14/03/2015,14,Mar,2015
333,B,San Diego,Hours Worked,98,09/03/2015,09,Mar,2015
334,B,San Diego,Production A,28,13/03/2015,13,Mar,2015
335,B,San Diego,Production A,59,09/03/2015,09,Mar,2015
336,B,San Diego,Production A,92,10/03/2015,10,Mar,2015
337,E,San Diego,Production A,37,09/03/2015,09,Mar,2015
338,E,San Diego,Production A,64,13/03/2015,13,Mar,2015
339,E,San Diego,Hours Worked,118,10/03/2015,10,Mar,2015
340,E,San Diego,Hours Worked,82,14/03/2015,14,Mar,2015
341,E,San Diego,Production A,109,14/03/2015,14,Mar,2015
342,E,San Diego,Hours Worked,109,09/03/2015,09,Mar,2015
343,E,San Diego,Hours Worked,41,12/03/2015,12,Mar,2015
344,E,San Diego,Hours Worked,104,13/03/2015,13,Mar,2015
345,E,San Diego,Production B,18,10/03/2015,10,Mar,2015
346,G,Irvine,Production A,78,22/03/2015,22,Mar,2015
347,G,Irvine,Hours Worked,78,22/03/2015,22,Mar,2015
348,G,Irvine,Hours Worked,106,28/03/2015,28,Mar,2015
349,G,Irvine,Production A,59,28/03/2015,28,Mar,2015
350,G,Irvine,Production B,18,23/03/2015,23,Mar,2015
351,G,Irvine,Production B,50,28/03/2015,28,Mar,2015
352,G,Irvine,Production B,15,22/03/2015,22,Mar,2015
353,G,Irvine,Production B,14,11/04/2015,11,Apr,2015
354,G,Irvine,Production B,41,05/04/2015,05,Apr,2015
355,G,Irvine,Production A,65,11/04/2015,11,Apr,2015
356,G,Irvine,Production A,93,05/04/2015,05,Apr,2015
357,G,Irvine,Production B,13,06/04/2015,06,Apr,2015
358,G,Irvine,Hours Worked,80,11/04/2015,11,Apr,2015
359,G,Irvine,Hours Worked,83,05/04/2015,05,Apr,2015
360,G,Irvine,Production A,35,09/04/2015,09,Apr,2015
361,D,San Francisco,Hours Worked,87,09/06/2015,09,Jun,2015
362,D,San Francisco,Hours Worked,118,10/06/2015,10,Jun,2015
363,D,San Francisco,Hours Worked,116,08/06/2015,08,Jun,2015
364,D,San Francisco,Hours Worked,88,12/06/2015,12,Jun,2015
365,D,San Francisco,Hours Worked,86,11/06/2015,11,Jun,2015
366,D,San Francisco,Production A,32,10/06/2015,10,Jun,2015
367,D,San Francisco,Production A,60,09/06/2015,09,Jun,2015
368,D,San Francisco,Hours Worked,117,18/06/2015,18,Jun,2015
369,D,San Francisco,Production B,13,17/06/2015,17,Jun,2015
370,D,San Francisco,Hours Worked,88,15/06/2015,15,Jun,2015
371,D,San Francisco,Hours Worked,103,19/06/2015,19,Jun,2015
372,D,San Francisco,Hours Worked,85,16/06/2015,16,Jun,2015
373,D,San Francisco,Hours Worked,120,17/06/2015,17,Jun,2015
374,D,San Francisco,Production A,37,18/06/2015,18,Jun,2015
375,D,San Francisco,Production B,36,16/06/2015,16,Jun,2015
376,D,San Francisco,Production A,34,16/06/2015,16,Jun,2015
377,D,San Francisco,Production A,33,19/06/2015,19,Jun,2015
378,D,San Francisco,Production A,27,17/06/2015,17,Jun,2015
379,D,San Francisco,Production A,33,15/06/2015,15,Jun,2015
380,F,San Mateo,Hours Worked,107,16/06/2015,16,Jun,2015
381,F,San Mateo,Production A,75,19/06/2015,19,Jun,2015
382,F,San Mateo,Production A,70,14/06/2015,14,Jun,2015
383,F,San Mateo,Production A,35,20/06/2015,20,Jun,2015
384,F,San Mateo,Production B,33,16/06/2015,16,Jun,2015
385,F,San Mateo,Production B,15,19/06/2015,19,Jun,2015
386,F,San Mateo,Hours Worked,116,17/06/2015,17,Jun,2015
387,F,San Mateo,Hours Worked,157,14/06/2015,14,Jun,2015
388,F,San Mateo,Hours Worked,107,20/06/2015,20,Jun,2015
389,F,San Mateo,Hours Worked,166,15/06/2015,15,Jun,2015
390,F,San Mateo,Hours Worked,98,19/06/2015,19,Jun,2015
391,B,San Diego,Hours Worked,114,24/01/2015,24,Jan,2015
392,B,San Diego,Hours Worked,100,23/01/2015,23,Jan,2015
393,B,San Diego,Hours Worked,80,21/01/2015,21,Jan,2015
394,B,San Diego,Hours Worked,82,20/01/2015,20,Jan,2015
395,B,San Diego,Production B,16,23/01/2015,23,Jan,2015
396,B,San Diego,Production B,24,21/01/2015,21,Jan,2015
397,B,San Diego,Production B,46,20/01/2015,20,Jan,2015
398,B,San Diego,Hours Worked,54,19/01/2015,19,Jan,2015
399,B,San Diego,Production A,52,20/01/2015,20,Jan,2015
400,B,San Diego,Production A,62,19/01/2015,19,Jan,2015
401,C,San Diego,Hours Worked,82,21/01/2015,21,Jan,2015
402,C,San Diego,Hours Worked,111,22/01/2015,22,Jan,2015
403,C,San Diego,Hours Worked,115,18/01/2015,18,Jan,2015
404,C,San Diego,Hours Worked,118,20/01/2015,20,Jan,2015
405,C,San Diego,Production B,16,22/01/2015,22,Jan,2015
406,C,San Diego,Production A,28,20/01/2015,20,Jan,2015
407,C,San Diego,Production A,57,21/01/2015,21,Jan,2015
408,C,San Diego,Production A,72,22/01/2015,22,Jan,2015
409,C,San Diego,Production A,148,18/01/2015,18,Jan,2015
410,D,San Francisco,Production A,104,04/02/2015,04,Feb,2015
411,D,San Francisco,Production A,27,06/02/2015,06,Feb,2015
412,D,San Francisco,Production B,12,06/02/2015,06,Feb,2015
413,D,San Francisco,Production A,35,02/02/2015,02,Feb,2015
414,D,San Francisco,Production A,33,05/02/2015,05,Feb,2015
415,D,San Francisco,Hours Worked,85,05/02/2015,05,Feb,2015
416,D,San Francisco,Hours Worked,119,04/02/2015,04,Feb,2015
417,D,San Francisco,Hours Worked,100,06/02/2015,06,Feb,2015
418,D,San Francisco,Hours Worked,98,02/02/2015,02,Feb,2015
419,D,San Francisco,Hours Worked,89,03/02/2015,03,Feb,2015
420,E,San Diego,Production A,36,13/02/2015,13,Feb,2015
421,E,San Diego,Production B,16,09/02/2015,09,Feb,2015
422,E,San Diego,Production B,26,13/02/2015,13,Feb,2015
423,E,San Diego,Production A,29,09/02/2015,09,Feb,2015
424,E,San Diego,Production A,25,14/02/2015,14,Feb,2015
425,E,San Diego,Hours Worked,109,09/02/2015,09,Feb,2015
426,E,San Diego,Hours Worked,103,13/02/2015,13,Feb,2015
427,E,San Diego,Hours Worked,88,14/02/2015,14,Feb,2015
428,E,San Diego,Hours Worked,100,12/02/2015,12,Feb,2015
429,G,Irvine,Production B,43,17/02/2015,17,Feb,2015
430,G,Irvine,Hours Worked,101,15/02/2015,15,Feb,2015
431,G,Irvine,Hours Worked,56,21/02/2015,21,Feb,2015
